Grapheme,Unicode_Hex,Frequency
யௌ,U+0BAF U+0BCC,5
மௌ,U+0BAE U+0BCC,5
ளொ,U+0BB3 U+0BCA,5
சௌ,U+0B9A U+0BCC,5
௫,U+0BEB,5
U,U+0055,5
{,U+007B,5
ளூ,U+0BB3 U+0BC2,5
ஹே,U+0BB9 U+0BC7,4
ணூ,U+0BA3 U+0BC2,4
+,U+002B,4
V,U+0056,4
&,U+0026,3
பௌ,U+0BAA U+0BCC,3
ஸீ,U+0BB8 U+0BC0,3
ஹீ,U+0BB9 U+0BC0,3
—,U+2014,3
ளீ,U+0BB3 U+0BC0,3
ஸை,U+0BB8 U+0BC8,3
நை,U+0BA8 U+0BC8,3
ஹூ,U+0BB9 U+0BC2,3
j,U+006A,3
J,U+004A,3
ழெ,U+0BB4 U+0BC6,3
றூ,U+0BB1 U+0BC2,3
Y,U+0059,3
ஜொ,U+0B9C U+0BCA,2
ழீ,U+0BB4 U+0BC0,2
ஸெ,U+0BB8 U+0BC6,2
ஷோ,U+0BB7 U+0BCB,2
ஔ,U+0B94,2
ஙி,U+0B99 U+0BBF,2
X,U+0058,2
ழோ,U+0BB4 U+0BCB,2
கௌ,U+0B95 U+0BCC,2
தௌ,U+0BA4 U+0BCC,2
சஂ,U+0B9A U+0B82,1
#,U+0023,1
௰,U+0BF0,1
௪,U+0BEA,1
@,U+0040,1
ஜூ,U+0B9C U+0BC2,1
௩,U+0BE9,1
q,U+0071,1
ஃ்,U+0B83 U+0BCD,1
Q,U+0051,1
௮,U+0BEE,1
வௌ,U+0BB5 U+0BCC,1
